blockNumber,horizon,min_flag,reference_blockNumber,horizon_label,closest_blockNumber,volume_500,volume_3000,cum_volume_500,cum_volume_3000,cum_volume_base,s0,w0,blsame_1,slsame_1,wlsame_1,slsame_2,wlsame_2,slsame_3,wlsame_3,vol_0_3,avg-USD-isame_01,avg-USD-isame_12,avg-USD-isame_23,blother_1,slother_1,wlother_1,slother_2,wlother_2,slother_3,wlother_3,avg-USD-iother_01,avg-USD-iother_12,avg-USD-iother_23,binance-midprice-01,binance-midprice-12,binance-midprice-23,pool,rate-count-isame_03,rate-count-iother_03,binance-btc-03
14523780,10.0,0,14523590,20,,0.0,0.0,961168.9035201916,436068.6561600575,1397237.559680249,38566.12812475312,1380.0,4000.0,86965.81468901393,4260.0,85.95341160694863,3600.0,3809.566762362565,4560.0,0.0026915712041374,65503.99746881124,198386.0286673268,333132.0863631058,787.0,17946395.711047277,1550.0,523132.5336555916,1150.0,7408.967323161395,740.0,79781.76905469975,801875.7231980289,144415.02826710243,0.0754443787349902,0.0755484928458196,0.0753518356781541,3000,81.0,213.0,284.55048551698764
14527674,10.0,0,14527484,20,,0.0,0.0,1292691.4267354384,0.0,1292691.4267354384,3783.4711329718098,13920.0,4769.0,38566.12812475312,1380.0,86965.81468901393,4260.0,85.95341160694863,3600.0,0.0028260758803987,220724.51489568985,65503.99746881124,198386.0286673268,1615.0,98211.16027952856,2810.0,36948.68050933538,660.0,13200.734075971028,740.0,91034.29582992448,162629.38316534556,123462.54011630436,0.0754702362751906,0.0754443787349902,0.0755484928458196,3000,118.0,172.0,332.3402275812144
14530010,10.0,0,14529826,20,14530010.0,45223.59743992941,0.0,6321708.114122681,199708.9793016928,6521417.093424374,21801.11566986701,1080.0,6236.0,3783.4711329718098,13920.0,38566.12812475312,1380.0,86965.81468901393,4260.0,0.0033665758618599,299154.1843160274,220724.51489568985,65503.99746881124,1194.0,45739.871556232254,32190.0,85.204065974799,2205.0,98211.16027952856,2810.0,245076.910923972,161581.91514059328,155705.22144091834,0.075094113248365,0.0754702362751906,0.0754443787349902,3000,114.0,191.0,81.40480115464182
14531884,10.0,0,14531700,20,,0.0,0.0,2876195.127212905,1559002.7993562138,4435197.926569119,54347.23294910188,9420.0,4216.0,21801.11566986701,1080.0,3783.4711329718098,13920.0,38566.12812475312,1380.0,0.0033869697849544,268071.5407554465,299154.1843160274,220724.51489568985,661.0,28632.56899938036,40.0,2600.810410030976,1780.0,806974.7139317853,140.0,151798.44195221568,105173.6972418597,127833.1208311724,0.0739470020683583,0.075094113248365,0.0754702362751906,3000,134.0,47.0,75.39871564631576
14533072,10.0,0,14532882,20,,0.0,0.0,6514618.347126913,0.0,6514618.347126913,70566.43028923089,11520.0,3056.0,54347.23294910188,9420.0,21801.11566986701,1080.0,3783.4711329718098,13920.0,0.0037440207959054,187144.5060280712,268071.5407554465,299154.1843160274,1098.0,1434391.4038634652,750.0,603.5182921119972,4520.0,28632.56899938036,40.0,178141.4678089708,143441.3163199335,152877.8796560322,0.0737084997148735,0.0739470020683583,0.075094113248365,3000,96.0,178.0,83.33422216322042
14533557,10.0,0,14533389,20,14533557.0,362394.19456049614,0.0,6357201.510281307,102695.04989403034,6459896.560175337,362.2178754578619,3600.0,1689.0,70566.43028923089,11520.0,54347.23294910188,9420.0,21801.11566986701,1080.0,0.0051745895956605,224474.8007409264,187144.5060280712,268071.5407554465,1605.0,1434391.4038634652,750.0,603.5182921119972,4520.0,28632.56899938036,40.0,188621.933025082,143441.3163199335,152877.8796560322,0.0733524153554175,0.0737084997148735,0.0739470020683583,3000,51.0,239.0,73.99122881422912
14535732,10.0,0,14535545,20,14535732.0,603248.2631206559,0.0,2617115.855777028,0.0,2617115.855777028,3975.538386731136,6420.0,2663.0,362.2178754578619,3600.0,70566.43028923089,11520.0,54347.23294910188,9420.0,0.003312824460916,143674.6972893604,224474.8007409264,187144.5060280712,2068.0,10218.266039972825,2230.0,213921.68744167985,20.0,285637.3998041368,2430.0,123512.39849956577,126494.58595792847,177769.90247736,0.0733314981810006,0.0733524153554175,0.0737084997148735,3000,92.0,257.0,78.22605589880254
14536451,10.0,0,14536261,20,14536451.0,3892.775337052276,0.0,438535.2884568749,0.0,438535.2884568749,340669.48471258115,720.0,716.0,16567.733261968915,11760.0,3975.538386731136,6420.0,362.2178754578619,3600.0,0.003658002351934,340669.48471258115,16567.733261968915,143674.6972893604,1806.0,503251.9440645164,1130.0,10218.266039972825,2230.0,213921.68744167985,20.0,108545.44289349856,126582.86141403145,126494.58595792847,0.0738084672912983,0.0735721532820101,0.0733314981810006,3000,65.0,309.0,110.7817728610537
14537417,10.0,0,14537232,20,,0.0,0.0,3715542.964030852,423768.771403278,4139311.73543413,61795.34994139862,4380.0,1043.0,340669.48471258115,720.0,16567.733261968915,11760.0,3975.538386731136,6420.0,0.0014894660897402,193428.427644898,340669.48471258115,16567.733261968915,1570.0,23133.684978876267,1380.0,503251.9440645164,1130.0,10218.266039972825,2230.0,123632.40621477384,97649.644409904,126582.86141403145,0.0740343020817252,0.0738084672912983,0.0735721532820101,3000,24.0,212.0,101.5370371900311
14539118,10.0,0,14538928,20,,0.0,0.0,1844820.3362223555,684219.7740217821,2529040.1102441377,5172.44209405584,6180.0,2667.0,61795.34994139862,4380.0,340669.48471258115,720.0,16567.733261968915,11760.0,0.0033384361695571,145053.3895312702,193428.427644898,340669.48471258115,602.0,24664191.87491109,10.0,109818.81917663728,30.0,31982.84459431041,740.0,181529.5857244056,768484.7631888549,68925.05002765423,0.0742256724603488,0.0740343020817252,0.0738084672912983,3000,44.0,77.0,59.60568210138671
14541420,10.0,0,14541235,20,14541420.0,520962.70288354857,0.0,1970746.6079084445,33622.364815424124,2004368.972723869,229267.4785934873,540.0,4003.0,5172.44209405584,6180.0,61795.34994139862,4380.0,340669.48471258115,720.0,0.0015979751605207,195844.8630811429,145053.3895312702,193428.427644898,703.0,80.38516506173633,750.0,15768.019414705352,2120.0,43451.09142046892,1774540.0,160136.49342509877,66191.24146676016,137434.2641179326,0.0737513879984406,0.0742256724603488,0.0740343020817252,3000,107.0,75.0,107.95914380916827
14543167,10.0,0,14542983,20,14543167.0,46007.65339730338,0.0,1852040.8555469257,310461.5854466607,2162502.4409935866,424016.1247131328,2160.0,84.0,198258.09374516623,4920.0,2614.4422916054564,1440.0,229267.4785934873,540.0,0.0063686737084708,424016.1247131328,123440.8297663026,154182.0039449404,36.0,828303.8132072599,970.0,2508.006949191228,1480.0,391521.91324578127,4090.0,8622.38972335966,233778.97164966105,60749.241087752845,0.0748749963769301,0.0748852216666666,0.0744147480793206,3000,41.0,21.0,80.36171098952866
14543992,10.0,0,14543802,20,14543992.0,227603.2105240398,0.0,4043809.291152605,2323420.299621487,6367229.590774092,14333.726087136933,2040.0,819.0,11454.565174018127,2040.0,424016.1247131328,2160.0,198258.09374516623,4920.0,0.0202780017707407,14333.726087136933,248383.53357961003,424016.1247131328,345.0,237608.72107321667,970.0,81.01903825211456,1130.0,405787.4164189183,1000.0,75261.0404856453,131433.09842719647,193711.2671680528,0.0750354479859594,0.0747671753076261,0.0748749963769301,3000,8.0,43.0,47.967210590017814
