,binance-count-01,binance-btc-01,binance-midprice-01,binance-count-12,binance-btc-12,binance-midprice-12,binance-count-23,binance-btc-23,binance-midprice-23
2804854298,11052,33.18844560815048,0.07398125733054678,3141.0,8.775324363622637,0.07401015261825163,8852.0,26.94989707648125,0.07431727989546955
2400363976,7096,19.767247106837107,0.07416564600708565,11052.0,33.18844560815048,0.07398125733054678,3141.0,8.775324363622637,0.07401015261825163
2450418983,5201,11.5115520180342,0.07419097097196767,7096.0,19.767247106837107,0.07416564600708565,11052.0,33.18844560815048,0.07398125733054678
3291934322,1144,3.0123374100310945,0.07410377117166793,5201.0,11.5115520180342,0.07419097097196767,7096.0,19.767247106837107,0.07416564600708565
2735347417,1272,3.824929204065895,0.07483201006985747,1144.0,3.0123374100310945,0.07410377117166793,5201.0,11.5115520180342,0.07419097097196767
321582703,853,2.369502706977386,0.07494197564357069,1272.0,3.824929204065895,0.07483201006985747,1144.0,3.0123374100310945,0.07410377117166793
2830678077,61,0.1023322116936996,0.07475688898809522,853.0,2.369502706977386,0.07494197564357069,1272.0,3.824929204065895,0.07483201006985747
1909056768,853,2.2055809031390954,0.07474349417628204,61.0,0.1023322116936996,0.07475688898809522,853.0,2.369502706977386,0.07494197564357069
300537032,877,3.2990999274599853,0.07481042009215466,853.0,2.2055809031390954,0.07474349417628204,61.0,0.1023322116936996,0.07475688898809522
1621553757,863,2.3075549045392245,0.0747829062106609,877.0,3.2990999274599853,0.07481042009215466,853.0,2.2055809031390954,0.07474349417628204
2565348515,2965,9.945169608429675,0.07493710959557147,863.0,2.3075549045392245,0.0747829062106609,877.0,3.2990999274599853,0.07481042009215466
3126145816,5331,19.70295298575917,0.07489285034089703,2965.0,9.945169608429675,0.07493710959557147,863.0,2.3075549045392245,0.0747829062106609
425491114,92,0.3576113665827596,0.07491735821506693,5331.0,19.70295298575917,0.07489285034089703,2965.0,9.945169608429675,0.07493710959557147
3857370372,1871,7.912612213330763,0.07487299698675426,92.0,0.3576113665827596,0.07491735821506693,5331.0,19.70295298575917,0.07489285034089703
89266475,8262,23.772465835620714,0.0753273400884197,1871.0,7.912612213330763,0.07487299698675426,92.0,0.3576113665827596,0.07491735821506693
582158780,22552,74.15768391010509,0.07518766641194195,8262.0,23.772465835620714,0.0753273400884197,1871.0,7.912612213330763,0.07487299698675426
167542444,24333,69.47610301058329,0.07562562596371453,22552.0,74.15768391010509,0.07518766641194195,8262.0,23.772465835620714,0.0753273400884197
959234307,10372,22.36423804780644,0.07577044725452792,24333.0,69.47610301058329,0.07562562596371453,22552.0,74.15768391010509,0.07518766641194195
2804246929,903,2.8167760519830254,0.07557240382138855,10372.0,22.36423804780644,0.07577044725452792,24333.0,69.47610301058329,0.07562562596371453
3291181422,10207,29.04238566606485,0.07566672503414404,903.0,2.8167760519830254,0.07557240382138855,10372.0,22.36423804780644,0.07577044725452792
4142258334,5490,15.291449747980641,0.07552157928355213,10207.0,29.04238566606485,0.07566672503414404,903.0,2.8167760519830254,0.07557240382138855
266590539,2244,5.105358786905952,0.07558656741942862,5490.0,15.291449747980641,0.07552157928355213,10207.0,29.04238566606485,0.07566672503414404
2850132732,1362,4.353744731178901,0.07554840239344993,2244.0,5.105358786905952,0.07558656741942862,5490.0,15.291449747980641,0.07552157928355213
998006257,188,0.5424391853734084,0.07561996304824561,1362.0,4.353744731178901,0.07554840239344993,2244.0,5.105358786905952,0.07558656741942862
2386348645,2604,6.485992118537206,0.07590799388913663,188.0,0.5424391853734084,0.07561996304824561,1362.0,4.353744731178901,0.07554840239344993
